Year,Africa_temp,Asia_temp,Europe_temp,NorthAmerica_temp,SouthAmerica_temp,Oceania_temp,co2_ppm,sea_level
1959,0.0,0.15,0.28,-0.14,0.17,0.29,315.98,-70.489063
1960,0.12,-0.19,0.28,0.2,0.03,-0.21,316.91,-67.83073
1961,-0.14,0.23,0.63,-0.2,0.26,0.16,317.64,-60.722393749999995
1962,0.02,0.39,-0.1,0.12,-0.01,0.08,318.45,-66.4390605
1963,0.08,0.34,-0.31,0.23,0.25,0.01,318.99,-67.0807275
1964,-0.22,-0.29,-0.09,-0.38,-0.13,0.0,319.62,-75.997395
1965,-0.2,-0.12,-0.44,-0.26,0.15,0.18,320.04,-65.07239475
1966,0.12,-0.18,0.3,-0.33,0.11,-0.21,321.37,-69.13073
1967,-0.26,0.22,0.22,-0.19,0.1,-0.07,322.18,-69.2890625
1968,-0.16,-0.17,-0.02,-0.12,-0.08,-0.1,323.05,-67.947396
1969,0.38,-0.68,-0.38,0.05,0.48,0.17,324.62,-60.747396
1970,0.14,-0.04,-0.05,-0.19,0.27,0.17,325.68,-65.14934600000001
1971,-0.21,0.2,0.05,-0.27,-0.19,0.05,326.32,-59.57103125
1972,0.06,-0.28,0.07,-0.84,0.22,0.23,327.46,-49.32270425
1973,0.28,0.42,-0.01,0.23,0.25,0.58,329.68,-56.48073075
1974,-0.27,-0.23,0.33,-0.31,-0.16,-0.22,330.19,-43.06928575
1975,-0.19,0.57,0.55,-0.28,-0.04,0.08,331.13,-43.10230825
1976,-0.18,-0.36,-0.37,0.05,-0.08,-0.29,332.03,-43.09308775
1977,0.13,0.11,0.07,0.65,0.37,0.14,333.84,-47.152622
1978,0.12,0.22,-0.37,-0.13,0.26,0.06,335.41,-43.99175275
1979,0.35,0.08,0.03,-0.1,0.24,0.42,336.84,-48.978593000000004
1980,0.34,0.19,-0.42,0.49,0.4,0.62,338.76,-39.8656235
1981,0.14,0.68,0.11,1.18,0.27,0.39,340.12,-28.92369575
1982,0.09,0.23,0.27,-0.45,0.38,0.17,341.48,-31.40462875
1983,0.41,0.71,0.45,0.07,0.58,0.45,343.15,-26.60817925
1984,0.23,-0.11,0.09,0.14,0.16,-0.03,344.87,-27.996555
1985,0.23,0.03,-0.5,0.04,0.24,0.35,346.35,-34.83284625
1986,0.19,0.27,-0.02,0.46,0.38,0.35,347.61,-33.367848
1987,0.73,-0.03,-0.46,1.0,0.72,0.32,349.31,-31.03120975
1988,0.45,0.76,0.31,0.67,0.4,0.75,351.69,-27.2527695
1989,0.09,0.71,0.96,0.03,0.29,0.24,353.2,-24.84229175
1990,0.55,0.94,0.94,0.32,0.47,0.53,354.45,-20.553938249999998
1991,0.29,0.69,0.25,0.62,0.47,0.55,355.7,-16.08136275
1992,0.16,0.22,0.44,0.21,0.36,0.27,356.54,-14.381879249999999
1993,0.44,0.35,0.06,0.24,0.47,0.36,357.21,-21.177322500000002
1994,0.31,0.56,0.8,0.51,0.64,0.28,358.96,-18.1936515
1995,0.58,1.25,0.59,0.54,0.68,0.33,360.97,-12.365325
1996,0.51,0.38,-0.04,0.15,0.48,0.61,362.74,-9.51543555
1997,0.49,0.8,0.45,0.56,0.82,0.4,363.88,-3.054291175
1998,0.9,0.79,0.59,1.63,1.03,0.96,366.84,-7.731137125
1999,0.59,0.9,1.0,1.04,0.43,0.5,368.54,-2.4915169600000002
2000,0.42,0.77,1.17,0.77,0.38,0.26,369.71,-2.06249006
2001,0.62,0.98,0.83,1.14,0.69,0.34,371.32,2.897798725
2002,0.79,1.18,1.03,0.75,0.88,0.73,373.45,0.457521725
2003,0.88,1.08,0.85,1.0,0.82,0.73,375.98,7.7933207
2004,0.74,1.05,0.74,0.5,0.75,0.57,377.7,8.641742825
2005,1.04,1.26,0.75,1.23,0.87,1.0,379.98,9.10275375
2006,0.74,1.01,0.96,1.48,0.84,0.6,382.09,12.44428375
2007,0.73,1.71,1.27,0.86,0.62,0.73,384.02,12.779394499999999
2008,0.65,1.38,1.17,0.38,0.67,0.56,385.83,22.474353
2009,0.93,1.01,1.0,0.51,0.9,0.89,387.64,27.585773250000003
2010,1.37,1.12,0.63,1.65,0.9,0.62,390.1,36.197918
2011,0.76,1.19,1.11,0.95,0.69,0.29,391.85,36.18167175
2012,0.8,0.99,0.93,1.5,0.94,0.44,394.06,42.34162825
2013,0.91,1.34,1.01,0.6,0.82,1.17,396.74,42.02689775
2014,0.94,1.11,1.59,0.81,1.06,0.96,398.81,49.904703
2015,1.08,1.76,1.55,1.28,1.42,0.93,401.01,52.179429999999996
2016,1.34,1.74,1.34,1.94,1.23,1.07,404.41,56.3307115
2017,1.07,1.78,1.28,1.49,1.22,0.99,406.76,55.11239075
2018,1.21,1.46,1.67,0.92,0.97,0.98,408.72,52.08327225
2019,1.3,1.8,1.69,1.13,1.26,1.21,411.65,60.9807395
2020,1.2,2.23,1.94,1.2,1.38,1.07,414.21,65.9997375
